IdEmergencia,FechaRegistro,Distrito,TipoEmergencia,TiempoRespuesta_Min,UnidadEmergencia,CostoOperativo_PEN,NivelSeveridad,PrioridadDespacho
1,2025-12-26,Los Olivos,Incendio,40,SAMU,2478,ALTO,1
2,2026-04-06,Carabayllo,Accidente de Tránsito,24,SAMU,4807,CRÍTICO,1
3,2026-06-30,Independencia,Accidente de Tránsito,49,Ambulancia,880,ALTO,1
4,2026-05-22,Puente Piedra,Incendio,55,Bomberos,2164,CRÍTICO,1
5,2025-12-11,Comas,Accidente de Tránsito,32,Patrullero,1482,ALTO,1
6,2026-03-15,Puente Piedra,Accidente de Tránsito,59,Bomberos,1930,ALTO,1
7,2025-08-04,Los Olivos,Rescate,33,Ambulancia,1385,MEDIO,2
8,2025-12-16,Independencia,Incendio,43,Patrullero,3532,ALTO,1
9,2026-06-20,Independencia,Emergencia Médica,30,Ambulancia,4284,MEDIO,3
10,2026-03-19,Puente Piedra,Accidente de Tránsito,49,Ambulancia,4711,ALTO,1
11,2026-06-06,Carabayllo,Incendio,24,Bomberos,3015,CRÍTICO,1
12,2026-03-08,Carabayllo,Accidente de Tránsito,45,Ambulancia,2156,CRÍTICO,1
13,2026-03-22,Comas,Accidente de Tránsito,12,Patrullero,3558,CRÍTICO,1
14,2026-01-16,Comas,Accidente de Tránsito,44,Ambulancia,4100,ALTO,1
15,2025-08-30,Carabayllo,Incendio,52,SAMU,2055,CRÍTICO,1
16,2026-01-11,Los Olivos,Emergencia Médica,23,SAMU,4668,MEDIO,3
17,2026-02-08,Carabayllo,Emergencia Médica,47,SAMU,2675,ALTO,2
18,2026-04-07,Independencia,Emergencia Médica,23,Patrullero,811,ALTO,3
19,2026-02-08,Carabayllo,Accidente de Tránsito,28,Bomberos,2887,ALTO,1
20,2026-06-09,Carabayllo,Rescate,27,Bomberos,2187,MEDIO,3
21,2026-01-07,Puente Piedra,Incendio,54,Ambulancia,2939,CRÍTICO,1
22,2025-11-05,Comas,Incendio,22,Patrullero,4403,CRÍTICO,1
23,2026-02-18,Carabayllo,Accidente de Tránsito,14,Ambulancia,4369,CRÍTICO,1
24,2025-12-24,Comas,Rescate,37,Ambulancia,3899,ALTO,3
25,2025-07-29,Los Olivos,Incendio,38,SAMU,3434,CRÍTICO,1
26,2026-06-02,Comas,Accidente de Tránsito,50,Ambulancia,2807,ALTO,1
27,2026-03-10,Puente Piedra,Accidente de Tránsito,39,Bomberos,2369,ALTO,1
28,2025-08-17,Comas,Accidente de Tránsito,17,Ambulancia,1529,ALTO,1
29,2025-10-07,Los Olivos,Accidente de Tránsito,34,Ambulancia,4791,ALTO,1
30,2026-05-03,Puente Piedra,Incendio,32,Bomberos,4411,CRÍTICO,1
31,2025-10-21,Comas,Emergencia Médica,60,Bomberos,3033,ALTO,2
32,2026-05-04,Los Olivos,Rescate,43,Ambulancia,2555,MEDIO,2
33,2026-07-01,Comas,Accidente de Tránsito,25,Patrullero,2396,CRÍTICO,1
34,2026-07-05,Independencia,Emergencia Médica,49,Ambulancia,4240,ALTO,2
35,2026-02-19,Los Olivos,Accidente de Tránsito,52,Ambulancia,2497,CRÍTICO,1
36,2026-06-20,Carabayllo,Emergencia Médica,6,Bomberos,3127,BAJO,3
37,2025-08-24,Los Olivos,Rescate,5,Patrullero,3824,ALTO,2
38,2026-01-25,Puente Piedra,Incendio,27,Bomberos,1502,ALTO,1
39,2026-03-23,Independencia,Rescate,52,Ambulancia,2722,BAJO,2
40,2025-08-11,Carabayllo,Emergencia Médica,57,Bomberos,4717,ALTO,2
41,2026-04-28,Carabayllo,Emergencia Médica,21,SAMU,2136,BAJO,2
42,2025-09-04,Carabayllo,Accidente de Tránsito,25,Patrullero,1493,CRÍTICO,1
43,2026-04-15,Los Olivos,Emergencia Médica,18,Patrullero,2765,MEDIO,3
44,2025-10-06,Carabayllo,Accidente de Tránsito,18,SAMU,3946,CRÍTICO,1
45,2026-06-20,Los Olivos,Incendio,57,SAMU,352,CRÍTICO,1
46,2025-08-19,Carabayllo,Accidente de Tránsito,41,Bomberos,3826,CRÍTICO,1
47,2026-01-19,Comas,Rescate,21,SAMU,2511,ALTO,3
48,2026-05-31,Carabayllo,Rescate,48,SAMU,2610,BAJO,2
49,2025-08-08,Puente Piedra,Accidente de Tránsito,16,Bomberos,1687,CRÍTICO,1
50,2025-12-15,Carabayllo,Accidente de Tránsito,29,Bomberos,1459,CRÍTICO,1
51,2026-06-01,Los Olivos,Accidente de Tránsito,50,SAMU,4196,CRÍTICO,1
52,2026-01-13,Puente Piedra,Rescate,31,Bomberos,4469,ALTO,3
53,2026-02-18,Los Olivos,Rescate,38,SAMU,2219,ALTO,2
54,2026-05-26,Independencia,Emergencia Médica,57,Patrullero,2722,ALTO,3
55,2026-03-27,Puente Piedra,Emergencia Médica,47,Bomberos,4477,MEDIO,3
56,2025-11-24,Carabayllo,Rescate,52,Bomberos,4755,ALTO,2
57,2025-11-05,Carabayllo,Accidente de Tránsito,47,Patrullero,4706,CRÍTICO,1
58,2025-12-12,Puente Piedra,Incendio,51,SAMU,1883,ALTO,1
59,2025-09-18,Los Olivos,Rescate,47,Patrullero,3709,BAJO,2
60,2025-11-18,Comas,Accidente de Tránsito,41,Ambulancia,1341,ALTO,1
61,2025-07-27,Comas,Rescate,32,Patrullero,4089,MEDIO,3
62,2026-05-10,Puente Piedra,Accidente de Tránsito,19,Patrullero,977,CRÍTICO,1
63,2026-01-03,Comas,Accidente de Tránsito,57,Ambulancia,3077,CRÍTICO,1
64,2025-11-21,Los Olivos,Rescate,13,Patrullero,2812,BAJO,2
65,2026-03-01,Comas,Emergencia Médica,11,SAMU,1891,BAJO,3
66,2025-08-29,Comas,Rescate,33,Bomberos,491,MEDIO,3
67,2025-09-03,Comas,Incendio,42,SAMU,534,CRÍTICO,1
68,2026-02-11,Independencia,Emergencia Médica,46,SAMU,3614,BAJO,2
69,2026-06-28,Carabayllo,Incendio,13,SAMU,2916,CRÍTICO,1
70,2025-08-07,Los Olivos,Accidente de Tránsito,48,Bomberos,302,CRÍTICO,1
71,2026-05-24,Comas,Emergencia Médica,47,SAMU,1440,BAJO,3
72,2026-02-14,Carabayllo,Accidente de Tránsito,35,Bomberos,1540,ALTO,1
73,2026-03-16,Independencia,Incendio,44,Ambulancia,2435,ALTO,1
