FechaRegistro,Distrito,TipoEmergencia,TiempoRespuesta_Min,UnidadEmergencia,CostoOperativo_PEN,NivelSeveridad,PrioridadDespacho
2026-06-20,Los Olivos,Rescate,39,Patrullero,4251,ALTO,2
2026-01-17,Los Olivos,Accidente de Tránsito,49,Patrullero,643,ALTO,1
2026-06-18,Los Olivos,Accidente de Tránsito,11,SAMU,3697,ALTO,1
2026-04-02,Carabayllo,Emergencia Médica,29,Bomberos,3760,ALTO,3
2026-01-04,Comas,Accidente de Tránsito,51,Patrullero,791,CRÍTICO,1
2026-02-28,Los Olivos,Incendio,21,Bomberos,3274,ALTO,1
2026-06-22,Independencia,Emergencia Médica,24,Ambulancia,1480,MEDIO,2
2026-05-09,Puente Piedra,Rescate,10,Patrullero,1866,ALTO,2
2026-07-03,Los Olivos,Rescate,51,Ambulancia,2932,MEDIO,3
2026-02-01,Carabayllo,Incendio,56,SAMU,1077,ALTO,1
2026-01-07,Independencia,Incendio,39,Ambulancia,639,CRÍTICO,1
2026-01-03,Independencia,Emergencia Médica,22,Ambulancia,1209,BAJO,2
2026-06-28,Carabayllo,Accidente de Tránsito,14,Bomberos,4919,CRÍTICO,1
2026-03-20,Independencia,Incendio,60,Patrullero,738,CRÍTICO,1
2026-05-03,Carabayllo,Rescate,9,Patrullero,1483,MEDIO,3
2026-06-05,Los Olivos,Accidente de Tránsito,39,SAMU,2989,ALTO,1
2026-04-15,Independencia,Accidente de Tránsito,18,SAMU,4060,CRÍTICO,1
2026-07-02,Los Olivos,Accidente de Tránsito,56,SAMU,511,ALTO,1
2026-04-28,Independencia,Accidente de Tránsito,12,Patrullero,904,CRÍTICO,1
2026-06-25,Carabayllo,Accidente de Tránsito,24,Bomberos,430,ALTO,1
2026-06-05,Comas,Emergencia Médica,35,Patrullero,742,BAJO,3
2026-02-09,Independencia,Rescate,17,Bomberos,2303,BAJO,3
2026-01-14,Carabayllo,Incendio,49,Bomberos,2720,ALTO,1
2026-02-18,Puente Piedra,Emergencia Médica,23,Patrullero,3276,BAJO,2
